name,author,publisher,family,location
继电保护原理与应用：principles and applications,"布莱科本,多明",机械工业出版社,数学,四楼C区
DirectX 12 3D游戏开发实战,卢纳,人民邮电出版社,数学,四楼C区
自动控制原理,"李晓秀,宋丽蓉",机械工业出版社,数学,四楼C区
理论力学,"阮诗伦,马红艳",科学出版社,数学,四楼C区
应用常微分方程,"刘秀湘,田艳玲,徐志庭",科学出版社,数学,四楼C区
线性代数,"刘先忠,杨明",高等教育出版社,数学,四楼C区
数学实验．概率论与数理统计分册,"李娜,王丹龄,刘秀芹",机械工业出版社,数学,四楼C区
协同机器人与多传感器网络,"库巴,哈利勒",电子工业出版社,数学,四楼C区
曝气池中气液两相流理论与实践,"程文,万甜,任杰辉",科学出版社,数学,四楼C区
心脏电活动的工程分析及相关技术,张虹,科学出版社,数学,四楼C区
线性系统理论,"陆军,王晓陵",科学出版社,数学,四楼C区
多沙河流水库水沙运动特性及其数值模拟,"夏军强,王增辉",科学出版社,数学,四楼C区
液体火箭发动机非线性静特性与响应特性,"沈赤兵,",科学出版社,数学,四楼C区
聚合函数及其应用,覃锋,科学出版社,数学,四楼C区
简明线性代数教程,柴伟文,科学出版社,数学,四楼C区
"Theta constants, Riemann surfaces, and the modular group =: θ常数, 黎曼面和模群 /","Kra, Irwin.","高等教育出版社,",数学,四楼C区
Algebraic curves and Riemann surfaces =: 代数曲线和黎曼面 /,Rick Miranda.,"高等教育出版社,",数学,四楼C区
数学分析讲义,"程艺,陈卿,李平",高等教育出版社,数学,四楼C区
国学概论,张荣明,高等教育出版社,数学,四楼C区
TypeScript图形渲染实战：2D架构设计与实现,步磊峰,机械工业出版社,数学,四楼C区
Python算法详解,张玲玲,人民邮电出版社,数学,四楼C区
应用密码学,"胡向东,魏琴芳,胡蓉",电子工业出版社,数学,四楼C区
机器学习理论与应用：基于云教育环境,"马长林,郑世珏,刘三[Ya]",清华大学出版社,数学,四楼C区
机器学习：算法背后的理论与优化,"史春奇,卜晶祎,施智平",清华大学出版社,数学,四楼C区
通信原理 (双语) 简明教程,朱艳萍,清华大学出版社,数学,四楼C区
工程数学,"代鸿,张玮",清华大学出版社,数学,四楼C区
工程电磁场,"哈特,巴克",清华大学出版社,数学,四楼C区
数学物理方法,"吴崇试,,高春媛",北京大学出版社,数学,四楼C区
人工智能,"赵亮,张宁",北京师范大学出版社,数学,四楼C区
物理学中的数学方法习题集,王怀玉,中国科学技术大学出版社,数学,四楼C区
间歇过程统计建模及故障监测研究：针对数据多阶段特性,"常鹏,",知识产权出版社,数学,四楼C区
"角斗士、海盗与信任博弈：how game theory, strategy and probability rule our lives",沙皮拉,中信出版集团股份有限公司,数学,四楼C区
高等数学及其应用,"胡成,吴田峰,刘洋",西南交通大学出版社,数学,四楼C区
木纤维发动机空气滤芯过滤理论,"杜丹丰,郭秀荣",科学出版社,数学,四楼C区
数学建模与数学实验,"汪晓银,李治,周保平",科学出版社,数学,四楼C区
数据科学手册,卡迪,机械工业出版社,数学,四楼C区
先进无人机空气动力学、飞行稳定性与飞行控制,"马克斯,达·龙什",机械工业出版社,数学,四楼C区
Excel公式、函数与图表案例实战从入门到精通：视频自学版,恒盛杰资讯,机械工业出版社,数学,四楼C区
数据结构与算法图解,温格罗,人民邮电出版社,数学,四楼C区
计算机科学中的数学：信息与智能时代的必修课,"莱曼,莱顿,迈耶",电子工业出版社,数学,四楼C区
Unity 3D\2D手机游戏开发：从学习到产品,金玺曾,清华大学出版社,数学,四楼C区
概率论与数理统计,"齐淑华,刘强",清华大学出版社,数学,四楼C区
下辽河平原地下水脆弱性与风险性评价,"孙才志,郑德凤,吕乐婷",科学出版社,数学,四楼C区
信息安全数学基础,"聂旭云,廖永建,熊虎",科学出版社,数学,四楼C区
空间有向几何学,喻德生,科学出版社,数学,四楼C区
实变函数与泛函分析基础,"程其襄,张奠宙,胡善文",高等教育出版社,数学,四楼C区
Topological invariants of plane curves and caustics =: 平面曲线和焦散曲线的拓扑不变量 /,V.I. Arnold.,"高等教育出版社,",数学,四楼C区
"Nonlinear wave equations, formation of singularities =: 非线性波动房产, 奇点的形成 /",Fritz John.,"高等教育出版社,",数学,四楼C区
组合证明的艺术,"本杰明,奎因",机械工业出版社,数学,四楼C区
"看漫画, 学微积分",高尼克,机械工业出版社,数学,四楼C区
世界观：现代人必须要懂的科学哲学和科学史：an introduction to the history and philosophy of science,德威特,机械工业出版社,文学,四楼C区
大学物理学重难点解析,"何跃娟,陈国庆,吴亚敏",高等教育出版社,文学,四楼C区
认识身体．2，永不停歇的变化,弗朗西斯,中信出版集团股份有限公司,文学,四楼C区
"角斗士、海盗与信任博弈：how game theory, strategy and probability rule our lives",沙皮拉,中信出版集团股份有限公司,文学,四楼C区
天与人的对话,"姚建明,",清华大学出版社,文学,四楼C区
马克思人文精神与西方经典作家关系研究：以但丁、莎士比亚、歌德、巴尔扎克为中心,"和建伟,",中国致公出版社,文学,四楼C区
翻译教学原理及其文学应用研究,赵丹,中国纺织出版社,文学,四楼C区
中国古代文学教程,"马春燕,王美玲,杨杨",西安交通大学出版社,文学,四楼C区
先秦文学演变史,"木斋,",人民出版社,文学,四楼C区
莫言作品海外传播研究,姜智芹,南京大学出版社,文学,四楼C区
文学课,"沈从文,",四川人民出版社,文学,四楼C区
寻找巴金,"坂井洋史,",四川文艺出版社,文学,四楼C区
当代文学：深察与纵览,李林荣,人民日报出版社,文学,四楼C区
“开始”在哪里,李平,上海人民出版社,文学,四楼C区
经典咏流传,"许文广,过彤",人民文学出版社,文学,四楼C区
梁启超讲中国美文及其历史,梁启超,团结出版社,文学,四楼C区
唯美古韵：《诗经》读解,苍梧,华中科技大学出版社,文学,四楼C区
本事词,叶申芗,中华书局,文学,四楼C区
词品,"杨慎,",中华书局,文学,四楼C区
清代才学小说考论,赵春辉,人民出版社,文学,四楼C区
雅努斯的面孔：中国现代“乡愁小说”论,"冯波,",中国社会科学出版社,文学,四楼C区
百年中国文学史写作范式研究,"温潘亚,",人民出版社,文学,四楼C区
四十年代自由主义文学研究,"王俊,",中国社会科学出版社,文学,四楼C区
鲁迅《野草》解读,魏洪丘,中国书籍出版社,文学,四楼C区
经典咏流传．我为诗狂,"许文广,过彤",人民文学出版社,文学,五楼D区
艺术展示导论,陆兴华,商务印书馆,文学,五楼D区
走向跨文化研究的艺术美学,李庆本,上海三联书店,文学,五楼D区
奥斯卡·施莱默的书信与日记,施莱默,华中科技大学出版社,文学,五楼D区
天体油画的美学发现,"张鹏,",科学出版社,文学,五楼D区
南宋淳熙四家的诗歌与书法,"路薇,",中国社会科学出版社,文学,五楼D区
王国维讲宋元戏曲史,王国维,团结出版社,文学,五楼D区
极简天文学,斯图尔特,中信出版集团股份有限公司,文学,五楼D区
风暴潮灾害风险评估及应对机制研究,"赵昕,,徐伟呈,,郭晶,",经济科学出版社,文学,五楼D区
通俗天文学,纽科姆,福建科学技术出版社,文学,五楼D区
物种起源,达尔文,福建科学技术出版社,文学,五楼D区
天体运行论,哥白尼,福建科学技术出版社,文学,五楼D区
改变近代文明的六种植物,"酒井伸雄,",重庆大学出版社,文学,五楼D区
余光中讲梵高：追寻生命,"余光中,",北京联合出版公司,文学,五楼D区
浮出社会地表：“十七年”女性媒介形象研究,韩敏,中国社会科学出版社,文学,五楼D区
学术话语体系建设的理与路：一项分科的研究,沈壮海,人民出版社,文学,五楼D区
语言文化教育视野下的本科教学改革探索,黄灿,人民日报出版社,文学,五楼D区
字里行间，草木皆兵：成语典故植物图鉴,潘富俊,九州出版社,文学,五楼D区
大学语文与写作,何春根,高等教育出版社,文学,五楼D区
对外汉语教学法,张艳华,高等教育出版社,文学,五楼D区
